requested_model,brand,model,component_group,component_name,is_pcb_or_board,pcb_type,evidence_count,guide_count,highest_confidence,source_urls
Google Pixel 7,Google,Pixel 7,Housing,Frame / midframe,False,,108,18,0.75,https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Cable+Replacement/154716 | https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Replacement/154715 | https://www.ifixit.com/Guide/Google+Pixel+7+Battery+Replacement/154680 | https://www.ifixit.com/Guide/Google+Pixel+7+Earpiece+Speaker+Replacement/154679 | https://www.ifixit.com/Guide/Google+Pixel+7+Front+Camera+Replacement/154677 | https://www.ifixit.com/Guide/Google+Pixel+7+Loudspeaker+Replacement/154682 | https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Cable+Replacement/154718 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Replacement/154719 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Battery+Replacement/154517 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Earpiece+Speaker+Replacement/154518 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Front+Camera+Replacement/154519 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Rear+Camera+Assembly+Replacement/154520 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Screen+Replacement/154720 | https://www.ifixit.com/Guide/Google+Pixel+7+Rear+Cameras+Replacement/154678 | https://www.ifixit.com/Guide/Google+Pixel+7+Screen+Replacement/154753
Google Pixel 7,Google,Pixel 7,Interconnect,Flex cable,False,,54,18,0.75,https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Cable+Replacement/154716 | https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Replacement/154715 | https://www.ifixit.com/Guide/Google+Pixel+7+Battery+Replacement/154680 | https://www.ifixit.com/Guide/Google+Pixel+7+Earpiece+Speaker+Replacement/154679 | https://www.ifixit.com/Guide/Google+Pixel+7+Front+Camera+Replacement/154677 | https://www.ifixit.com/Guide/Google+Pixel+7+Loudspeaker+Replacement/154682 | https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Cable+Replacement/154718 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Replacement/154719 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Battery+Replacement/154517 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Earpiece+Speaker+Replacement/154518 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Front+Camera+Replacement/154519 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Rear+Camera+Assembly+Replacement/154520 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Screen+Replacement/154720 | https://www.ifixit.com/Guide/Google+Pixel+7+Rear+Cameras+Replacement/154678 | https://www.ifixit.com/Guide/Google+Pixel+7+Screen+Replacement/154753
Google Pixel 7,Google,Pixel 7,Mechanical / sealing,Adhesive / gasket,False,,35,21,0.8,https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Cable+Replacement/154716 | https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Replacement/154715 | https://www.ifixit.com/Guide/Google+Pixel+7+Battery+Replacement/154680 | https://www.ifixit.com/Guide/Google+Pixel+7+Earpiece+Speaker+Replacement/154679 | https://www.ifixit.com/Guide/Google+Pixel+7+Front+Camera+Replacement/154677 | https://www.ifixit.com/Guide/Google+Pixel+7+Loudspeaker+Replacement/154682 | https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Cable+Replacement/154718 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Replacement/154719 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Battery+Replacement/154517 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Earpiece+Speaker+Replacement/154518 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Front+Camera+Replacement/154519 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Rear+Camera+Assembly+Replacement/154520 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Screen+Replacement/154720 | https://www.ifixit.com/Guide/Google+Pixel+7+Rear+Cameras+Replacement/154678 | https://www.ifixit.com/Guide/Google+Pixel+7+Screen+Replacement/154753 | https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Battery+Replacement/161598 | https://www.ifixit.com/Guide/How+to+Replace+the+Screen+Adhesive+for+Your+Google+Pixel+7/156203
Google Pixel 7,Google,Pixel 7,PCB / board,Main logic board,True,Main logic board,197,18,0.8,https://www.ifixit.com/Guide/Google+Pixel+7+Battery+Replacement/154680 | https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Cable+Replacement/154718 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Replacement/154719 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Battery+Replacement/154517 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Earpiece+Speaker+Replacement/154518 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Front+Camera+Replacement/154519 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Rear+Camera+Assembly+Replacement/154520 | https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Battery+Replacement/161598 | https://www.ifixit.com/Guide/Google+Pixel+7a+Earpiece+Speaker+Replacement/161483 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580 | https://www.ifixit.com/Guide/Google+Pixel+7a+Screen+Replacement/161581 | https://www.ifixit.com/Guide/Google+Pixel+7a+Wireless+Charging+Assembly+Replacement/161462 | https://www.ifixit.com/Guide/How+to+Apply+Rear+Cover+Adhesive+in+Your+Google+Pixel+7a/162229
Google Pixel 7,Google,Pixel 7,PCB / board,RF / antenna board,True,RF / antenna board,4,2,0.75,https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523
Google Pixel 7,Google,Pixel 7,Power,Battery,False,,313,28,0.8,https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Cable+Replacement/154716 | https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Replacement/154715 | https://www.ifixit.com/Guide/Google+Pixel+7+Battery+Replacement/154680 | https://www.ifixit.com/Guide/Google+Pixel+7+Earpiece+Speaker+Replacement/154679 | https://www.ifixit.com/Guide/Google+Pixel+7+Front+Camera+Replacement/154677 | https://www.ifixit.com/Guide/Google+Pixel+7+Loudspeaker+Replacement/154682 | https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Cable+Replacement/154718 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Replacement/154719 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Battery+Replacement/154517 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Earpiece+Speaker+Replacement/154518 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Front+Camera+Replacement/154519 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Rear+Camera+Assembly+Replacement/154520 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Screen+Replacement/154720 | https://www.ifixit.com/Guide/Google+Pixel+7+Rear+Cameras+Replacement/154678 | https://www.ifixit.com/Guide/Google+Pixel+7+Screen+Replacement/154753 | https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Battery+Replacement/161598 | https://www.ifixit.com/Guide/Google+Pixel+7a+Earpiece+Speaker+Replacement/161483 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580 | https://www.ifixit.com/Guide/Google+Pixel+7a+Rear+Cover+Replacement/161457 | https://www.ifixit.com/Guide/Google+Pixel+7a+Screen+Replacement/161581 | https://www.ifixit.com/Guide/Google+Pixel+7a+Wireless+Charging+Assembly+Replacement/161462 | https://www.ifixit.com/Guide/How+to+Replace+the+Screen+Adhesive+for+Your+Google+Pixel+7+Pro/156204 | https://www.ifixit.com/Guide/How+to+Replace+the+Screen+Adhesive+for+Your+Google+Pixel+7/156203
Google Pixel 7,Google,Pixel 7,Power / wireless,Wireless charging coil,False,,14,7,0.75,https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Battery+Replacement/161598 | https://www.ifixit.com/Guide/Google+Pixel+7a+Earpiece+Speaker+Replacement/161483 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580 | https://www.ifixit.com/Guide/Google+Pixel+7a+Rear+Cover+Replacement/161457 | https://www.ifixit.com/Guide/Google+Pixel+7a+Wireless+Charging+Assembly+Replacement/161462
Google Pixel 7,Google,Pixel 7,Sensor,Fingerprint sensor,False,,2,2,0.75,https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Screen+Replacement/154720 | https://www.ifixit.com/Guide/Google+Pixel+7+Screen+Replacement/154753
Google Pixel 7,Google,Pixel 7,Thermal,Heat spreader / vapor chamber,False,,2,2,0.8,https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Battery+Replacement/154517 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523
Google Pixel 7,Google,Pixel 7,Wireless,Cellular antenna,False,,22,11,0.75,https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Cable+Replacement/154716 | https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Replacement/154715 | https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Cable+Replacement/154718 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Replacement/154719 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Earpiece+Speaker+Replacement/154518 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Front+Camera+Replacement/154519 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Rear+Camera+Assembly+Replacement/154520 | https://www.ifixit.com/Guide/Google+Pixel+7+Rear+Cameras+Replacement/154678
Google Pixel 7,Google,Pixel 7,Wireless,NFC antenna / coil,False,,9,5,0.75,https://www.ifixit.com/Guide/Google+Pixel+7+Battery+Replacement/154680 | https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Battery+Replacement/154517 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523
Google Pixel 8,Google,Pixel 8,Audio,Earpiece speaker,False,,24,6,0.8,https://www.ifixit.com/Guide/Google+Pixel+8+Earpiece+Speaker+Replacement/166196 | https://www.ifixit.com/Guide/Google+Pixel+8+Front+Camera+Replacement/166162 | https://www.ifixit.com/Guide/Google+Pixel+8+Logic+Board+Replacement/166181 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Earpiece+Speaker+Replacement/165771 | https://www.ifixit.com/Guide/Google+Pixel+8a+Logic+Board+Replacement/173123 | https://www.ifixit.com/Guide/Google+Pixel+8a+Screen+Replacement/173219
Google Pixel 8,Google,Pixel 8,Audio,Loudspeaker,False,,63,15,0.8,https://www.ifixit.com/Guide/Google+Pixel+8+5G+mmWave+Antenna+Replacement/166164 | https://www.ifixit.com/Guide/Google+Pixel+8+Battery+Replacement/166180 | https://www.ifixit.com/Guide/Google+Pixel+8+Bottom+Speaker+Replacement/166157 | https://www.ifixit.com/Guide/Google+Pixel+8+Earpiece+Speaker+Replacement/166196 | https://www.ifixit.com/Guide/Google+Pixel+8+Front+Camera+Replacement/166162 | https://www.ifixit.com/Guide/Google+Pixel+8+Logic+Board+Replacement/166181 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Battery+Replacement/165774 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Earpiece+Speaker+Replacement/165771 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Front+Camera+Replacement/165766 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Logic+Board+Replacement/165775 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Loudspeaker+Replacement/165742 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Rear+Camera+Assembly+Replacement/165767 | https://www.ifixit.com/Guide/Google+Pixel+8+Ultrawide+Rear+Camera+Replacement/166201 | https://www.ifixit.com/Guide/Google+Pixel+8+Wide+Rear+Camera+Replacement/166159 | https://www.ifixit.com/Guide/How+to+Apply+New+Screen+Adhesive+in+Your+Google+Pixel+8/166235
Google Pixel 8,Google,Pixel 8,Camera,Camera module,False,,24,4,0.8,https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Earpiece+Speaker+Replacement/165771 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Logic+Board+Replacement/165775 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Rear+Camera+Assembly+Replacement/165767 | https://www.ifixit.com/Guide/How+to+Apply+a+New+Graphite+Sheet+in+Your+Google+Pixel+8+Pro/165973
Google Pixel 8,Google,Pixel 8,Camera,Front camera,False,,88,21,0.8,https://www.ifixit.com/Guide/Google+Pixel+8+5G+mmWave+Antenna+Replacement/166164 | https://www.ifixit.com/Guide/Google+Pixel+8+Battery+Replacement/166180 | https://www.ifixit.com/Guide/Google+Pixel+8+Bottom+Speaker+Replacement/166157 | https://www.ifixit.com/Guide/Google+Pixel+8+Earpiece+Speaker+Replacement/166196 | https://www.ifixit.com/Guide/Google+Pixel+8+Front+Camera+Replacement/166162 | https://www.ifixit.com/Guide/Google+Pixel+8+Logic+Board+Replacement/166181 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+5G+mmWave+Antenna+Replacement/165796 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Battery+Replacement/165774 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Earpiece+Speaker+Replacement/165771 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Front+Camera+Replacement/165766 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Logic+Board+Replacement/165775 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Loudspeaker+Replacement/165742 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Rear+Camera+Assembly+Replacement/165767 | https://www.ifixit.com/Guide/Google+Pixel+8+Pro+Screen+Replacement/165684 | https://www.ifixit.com/Guide/Google+Pixel+8+Screen+Replacement/166152 | https://www.ifixit.com/Guide/Google+Pixel+8+Ultrawide+Rear+Camera+Replacement/166201 | https://www.ifixit.com/Guide/Google+Pixel+8+Wide+Rear+Camera+Replacement/166159 | https://www.ifixit.com/Guide/Google+Pixel+8a+Logic+Board+Replacement/173123 | https://www.ifixit.com/Guide/Google+Pixel+8a+Screen+Replacement/173219 | https://www.ifixit.com/Guide/How+to+Apply+New+Screen+Adhesive+in+Your+Google+Pixel+8+Pro/165811 | https://www.ifixit.com/Guide/How+to+Apply+New+Screen+Adhesive+in+Your+Google+Pixel+8/166235
